type pcts
4 0.00104
1 0.99315
2 0.00273
3 0.00044
4 0.00369
1 0.79822
2 0.08674
3 0.08950
4 0.02553
1 0.49303
2 0.05399
3 0.39101
4 0.06196
1 0.94279
2 0.00496
3 0.04752
4 0.00473
1 0.98438
2 0.00536
3 0.00101
4 0.00926
1 0.51965
2 0.14490
3 0.25461
4 0.08084
1 0.60371
2 0.27805
3 0.08705
4 0.03118
1 0.68013
2 0.08570
3 0.01479
4 0.21938
1 0.94112
2 0.05007
3 0.00732
4 0.00149
1 0.26003
2 0.00967
3 0.00038
4 0.72992
1 0.46536
2 0.04081
3 0.04283
4 0.45101
1 0.10725
2 0.00742
3 0.05859
4 0.82674
1 0.59713
2 0.06055
3 0.11313
4 0.22919
1 0.19039
2 0.38112
3 0.20623
4 0.22227
1 0.41332
2 0.01282
3 0.03604
4 0.53782
1 0.39616
2 0.01269
3 0.51949
4 0.07165
1 0.87652
2 0.01252
3 0.06648
4 0.04448
1 0.59647
2 0.29467
3 0.08747
4 0.02140
1 0.40899
2 0.10396
3 0.34088
4 0.14617
1 0.53464
2 0.11882
3 0.16155
4 0.18499
1 0.39475
2 0.01866
3 0.19181
4 0.39478
1 0.19854
2 0.16270
3 0.56753
4 0.07122
1 0.79808
2 0.01901
3 0.10558
4 0.07732
1 0.51167
2 0.03454
3 0.32892
4 0.12486
1 0.46471
2 0.05700
3 0.39560
4 0.08270
1 0.61223
2 0.08352
3 0.08583
4 0.21842
1 0.38178
2 0.02629
3 0.00673
4 0.58519
1 0.64073
2 0.25275
3 0.07697
4 0.02956
1 0.78203
2 0.04519
3 0.05001
4 0.12276
1 0.45904
2 0.01052
3 0.00221
4 0.52823
1 0.70976
2 0.06673
3 0.01032
4 0.21318
1 0.98907
2 0.00120
3 0.00854
4 0.00119
1 0.41020
2 0.01412
3 0.30421
4 0.27146
1 0.60433
2 0.00019
3 0.00043
4 0.39504
1 0.69909
2 0.07157
3 0.01006
4 0.21928
1 0.76742
2 0.13930
3 0.06016
4 0.03313
1 0.02463
2 0.00129
3 0.05088
4 0.92320
1 0.45932
2 0.08645
3 0.23638
4 0.21785
1 0.31248
2 0.06131
3 0.50650
4 0.11971
1 0.98009
2 0.00554
3 0.01193
4 0.00243
1 0.68958
2 0.05764
3 0.22158
4 0.03120
1 0.88084
2 0.02059
3 0.08082
4 0.01776
1 0.51257
2 0.07044
3 0.06305
4 0.35394
1 0.46655
2 0.09724
3 0.16631
4 0.26990
1 0.99178
2 0.00290
3 0.00133
4 0.00398
1 0.49425
2 0.02109
3 0.01071
4 0.47394
1 0.95064
2 0.01180
3 0.01311
4 0.02444
1 0.78346
2 0.04644
3 0.02899
4 0.14111
1 0.27031
2 0.12162
3 0.28489
4 0.32318
1 0.42586
2 0.18061
3 0.31736
4 0.07617
1 0.63482
2 0.09722
3 0.03333
4 0.23462
1 0.60477
2 0.00112
3 0.10210
4 0.29201
1 0.42064
2 0.00831
3 0.00196
4 0.56909
1 0.00105
2 0.00523
3 0.04214
4 0.95158
1 0.67058
2 0.05827
3 0.12730
4 0.14384
1 0.54454
2 0.09227
3 0.23023
4 0.13295
1 0.58408
2 0.06077
3 0.11765
4 0.23749
1 0.65729
2 0.24215
3 0.07386
4 0.02671
1 0.70609
2 0.09244
3 0.03713
4 0.16433
1 0.16905
2 0.36475
3 0.15172
4 0.31448
1 0.43530
2 0.00935
3 0.00250
4 0.55285
1 0.60334
2 0.10867
3 0.00852
4 0.27947
1 0.33952
2 0.00746
3 0.00415
4 0.64887
1 0.47229
2 0.16540
3 0.35658
4 0.00573
1 0.47685
2 0.02542
3 0.24445
4 0.25327
1 0.94547
2 0.04486
3 0.00836
4 0.00130
1 0.14059
2 0.30506
3 0.52096
4 0.03339
1 0.49010
2 0.26389
3 0.22456
4 0.02144
1 0.57331
2 0.04411
3 0.19595
4 0.18663
1 0.65023
2 0.24060
3 0.07878
4 0.03038
1 0.48534
2 0.01025
3 0.00244
4 0.50198
1 0.57836
2 0.10939
3 0.26141
4 0.05084
1 0.89826
2 0.01343
3 0.05717
4 0.03114
1 0.56780
2 0.28122
3 0.09111
4 0.05987
1 0.73261
2 0.03908
3 0.20577
4 0.02254
1 0.40808
2 0.21779
3 0.15170
4 0.22243
1 0.45528
2 0.01199
3 0.00211
4 0.53062
1 0.01147
2 0.00028
3 0.00006
4 0.98820
1 0.69181
2 0.02865
3 0.20623
4 0.07330
1 0.43820
2 0.07417
3 0.31025
4 0.17738
1 0.94793
2 0.01218
3 0.00353
4 0.03637
1 0.48849
2 0.00837
3 0.39033
4 0.11281
1 0.82131
2 0.04233
3 0.09796
4 0.03840
1 0.71857
2 0.05222
3 0.18879
4 0.04042
1 0.61220
2 0.25535
3 0.08834
4 0.04412
1 0.64135
2 0.25328
3 0.07680
4 0.02857
1 0.55090
2 0.21059
3 0.06138
4 0.17713
1 0.65855
2 0.26024
3 0.04600
4 0.03521
1 0.17237
2 0.01022
3 0.29403
4 0.52339
1 0.80584
2 0.04845
3 0.05170
4 0.09401
1 0.64812
2 0.24789
3 0.07417
4 0.02981
1 0.93653
2 0.02537
3 0.02505
4 0.01305
1 0.65006
2 0.06911
3 0.23230
4 0.04853
1 0.63769
2 0.11486
3 0.12353
4 0.12392
1 0.75215
2 0.00670
3 0.00040
4 0.24076
1 0.65277
2 0.01671
3 0.16241
4 0.16811
1 0.36188
2 0.02860
3 0.32697
4 0.28256
1 0.30510
2 0.19343
3 0.36161
4 0.13986
1 0.80713
2 0.03092
3 0.06779
4 0.09416
1 0.80308
2 0.01118
3 0.01789
4 0.16786
1 0.29303
2 0.01590
3 0.01553
4 0.67555
1 0.99424
2 0.00318
3 0.00149
4 0.00109
1 0.43286
2 0.12242
3 0.13526
4 0.30947
1 0.38267
2 0.07823
3 0.17227
4 0.36684
1 0.50199
2 0.01750
3 0.37150
4 0.10902
1 0.74732
2 0.00686
3 0.00039
4 0.24542
1 0.46076
2 0.07729
3 0.20444
4 0.25751
1 0.60200
2 0.12473
3 0.00757
4 0.26570
1 0.62452
2 0.26093
3 0.08294
4 0.03161
1 0.64598
2 0.25078
3 0.07430
4 0.02894
1 0.71578
2 0.09146
3 0.16729
4 0.02547
1 0.27908
2 0.11556
3 0.47021
4 0.13516
1 0.03781
2 0.93573
3 0.01107
4 0.01539
1 0.47131
2 0.09330
3 0.26433
4 0.17106
1 0.74091
2 0.00705
3 0.00043
4 0.25162
1 0.31829
2 0.07228
3 0.54292
4 0.06651
1 0.55802
2 0.09706
3 0.27611
4 0.06881
1 0.48635
2 0.10950
3 0.02779
4 0.37637
1 0.49691
2 0.09608
3 0.25255
4 0.15446
1 0.38134
2 0.00996
3 0.00791
4 0.60079
1 0.76819
2 0.02839
3 0.01185
4 0.19157
1 0.38814
2 0.00327
3 0.35225
4 0.25634
1 0.04962
2 0.00025
3 0.03348
4 0.91665
1 0.85377
2 0.04395
3 0.01223
4 0.09004
1 0.32565
2 0.00589
3 0.01518
4 0.65328
1 0.76407
2 0.06144
3 0.12642
4 0.04807
1 0.13037
2 0.32560
3 0.40455
4 0.13948
1 0.41163
2 0.01783
3 0.48122
4 0.08932
1 0.84088
2 0.10548
3 0.03006
4 0.02359
1 0.20956
2 0.17811
3 0.04646
4 0.56587
1 0.18994
2 0.01046
3 0.00170
4 0.79790
1 0.34706
2 0.00702
3 0.00318
4 0.64274
1 0.84150
2 0.01028
3 0.11953
4 0.02869
1 0.80305
2 0.02582
3 0.01982
4 0.15130
1 0.34420
2 0.05471
3 0.48674
4 0.11434
