type,value
top 1,21.8114582195606
top 1-5%,47.8635259757911
top 5-10%,63.2056551334725
top 10-20%,64.5948406685418
top 20-50%,66.8396515188955
top 50-80%,55.6894497572468
top 80-100%,18.1781254944702
top 1,5.62385351322968
top 1-5%,4.63430985714121
top 5-10%,3.3615984633111
top 10-20%,2.50777635710097
top 20-50%,1.30578325785964
top 50-80%,0.620151163860511
top 80-100%,0.616717765189522
top 1,2.61685671054325
top 1-5%,0.13256049469289
top 5-10%,0.123342368979674
top 10-20%,0.123342368979674
top 20-50%,0.085569799694791
top 50-80%,0.0593107737278732
top 80-100%,0.312293581140969
top 1,3.62792018957111
top 1-5%,0.832102439797484
top 5-10%,0.626221664140366
top 10-20%,0.508488429130588
top 20-50%,0.55614172087437
top 50-80%,1.02167209460988
top 80-100%,1.43852793346974
top 1,8.74230273772983
top 1-5%,1.51195185985824
top 5-10%,0.488793582643904
top 10-20%,0.431450034151101
top 20-50%,1.11244256915756
top 50-80%,0.988540463333276
top 80-100%,1.1014857814567
top 1,1.88124790465149
top 1-5%,0.481789041837662
top 5-10%,0.228786182234065
top 10-20%,0.176650044966132
top 20-50%,0.184526607163451
top 50-80%,0.288579877312877
top 80-100%,0.367807694638355
top 1,5.02306129538736
top 1-5%,2.62084817353954
top 5-10%,0.862870480292129
top 10-20%,0.737817319790377
top 20-50%,0.739653116145534
top 50-80%,0.683978970017608
top 80-100%,0.693456578342153
top 1,3.77726720927875
top 1-5%,0.974402624814555
top 5-10%,0.730116813978662
top 10-20%,0.623083397555702
top 20-50%,0.633722453666918
top 50-80%,0.997014759170494
top 80-100%,1.44715066187898
top 1,1.97242687435199
top 1-5%,0.510070932895478
top 5-10%,0.266342013637487
top 10-20%,0.215212461852007
top 20-50%,0.200769540706611
top 50-80%,0.260661722217148
top 80-100%,0.513872853314729
top 1,2.07346145061142
top 1-5%,0.502590470002475
top 5-10%,0.262616524493881
top 10-20%,0.211255593438308
top 20-50%,0.223846536580689
top 50-80%,0.292403824226969
top 80-100%,0.495612999185993
top 1,2.26779688910313
top 1-5%,0.321372897929234
top 5-10%,0.239282926328468
top 10-20%,0.239282926328468
top 20-50%,0.257317157713799
top 50-80%,0.337974173071742
top 80-100%,0.502766224985085
top 1,2.04419950824138
top 1-5%,0.522530116320881
top 5-10%,0.261528623981017
top 10-20%,0.209103434898752
top 20-50%,0.205777640008946
top 50-80%,0.291492160620527
top 80-100%,0.461489873285188
top 1,2.30662961904299
top 1-5%,9.55547032923882
top 5-10%,7.81413235917595
top 10-20%,3.42012485393504
top 20-50%,3.52199280256661
top 50-80%,3.46312495934968
top 80-100%,2.49298445520459
top 1,3.62497651340544
top 1-5%,0.839215382837961
top 5-10%,0.62016451221746
top 10-20%,0.497302934654496
top 20-50%,0.483606360976157
top 50-80%,0.980928285604565
top 80-100%,1.73225556283517
top 1,2.29703562241136
top 1-5%,0.421174039241102
top 5-10%,0.406675449664585
top 10-20%,0.401594420839984
top 20-50%,0.437024173937403
top 50-80%,0.809391444628618
top 80-100%,0.853669871883364
top 1,1.77685305348054
top 1-5%,0.318050485692776
top 5-10%,0.265944086034872
top 10-20%,0.27050556373467
top 20-50%,0.378083059088196
top 50-80%,0.656063255813307
top 80-100%,0.46456400695398
top 1,2.10889179695308
top 1-5%,0.578010932048813
top 5-10%,0.283849373643777
top 10-20%,0.231055363863456
top 20-50%,0.251849682379188
top 50-80%,0.326319560134142
top 80-100%,0.560562346708522
top 1,0.726908156567225
top 1-5%,0.556768633908825
top 5-10%,0.527775083358917
top 10-20%,0.480057931175044
top 20-50%,0.32810505584641
top 50-80%,0.229714912635729
top 80-100%,0.281075349099524
top 1,22.2524210295838
top 1-5%,8.05238388035707
top 5-10%,3.06710687704765
top 10-20%,2.1824323814909
