log value type
211 5.64215 3
211 4.18786 4
212 1.95416 1
212 0.20325 2
212 0.283549 3
212 0.403335 4
213 2.4425 1
213 0.408966 2
213 0.314298 3
213 0.302558 4
219 1.6105 1
219 23.1849 2
219 3.9402 3
219 4.98467 4
220 0.564746 1
220 0.348541 2
220 0.588668 3
220 1.02471 4
221 0.586517 1
221 0.486153 2
221 0.467006 3
221 0.402475 4
223 2.30263 1
223 0.945493 2
223 0.53193 3
223 0.497024 4
225 3.855 1
225 2.52604 2
225 2.38288 3
225 2.25492 4
226 1.94733 1
226 4.79907 2
226 1.43968 3
226 1.8183 4
227 4.58623 1
227 1.1626 2
227 1.03156 3
227 0.969874 4
228 14.2306 1
228 3.19815 2
228 1.78155 3
228 1.78155 4
231 2.55737 1
231 0.465256 2
231 0.269128 3
231 0.248026 4
232 4.22047 1
232 1.54524 2
232 1.52781 3
232 0.551265 4
242 0.980385 1
242 10.4619 2
242 5.0685 3
242 5.16788 4
244 2.14943 1
244 1.50657 2
244 0.906015 3
244 0.80667 4
248 2.59273 1
248 0.532965 2
248 0.268051 3
248 0.215176 4
254 2.58945 1
254 0.53307 2
254 0.279422 3
254 0.229898 4
256 12.0611 1
256 1.99785 2
256 1.53559 3
256 1.38446 4
257 3.97958 1
257 2.87389 2
257 5.38905 3
257 1.57126 4
260 3.08781 1
260 1.13253 2
260 0.800675 3
260 0.475898 4
261 1.39962 1
261 0.242991 2
261 0.0298216 3
261 0.0345146 4
262 19.5849 1
262 14.2468 2
262 18.5982 3
262 11.03 4
263 4.34 1
263 7.10222 2
263 3.35711 3
263 4.46923 4
264 6.78925 1
264 9.58947 2
264 3.31665 3
264 3.07852 4
265 2.57341 1
265 3.20057 2
265 1.63638 3
265 1.46669 4
269 3.95056 1
269 1.64539 2
269 1.85075 3
269 1.65163 4
272 4.30584 1
272 1.66352 2
272 0.929286 3
272 0.984777 4
275 0.566534 1
275 0.505646 2
275 0.498854 3
275 0.43632 4
276 4.90932 1
276 5.3045 2
276 2.64689 3
276 2.14838 4
278 4.61939 1
278 2.55483 2
278 1.48091 3
280 3.26874 1
280 2.00138 2
280 1.52173 3
280 1.49964 4
283 4.47085 1
283 8.55637 2
283 5.38772 3
283 4.38727 4
293 20.0109 1
293 2.53935 2
293 1.76945 3
293 1.61703 4
303 2.63415 1
303 0.554917 2
303 0.265134 3
303 0.232854 4
310 2.01823 1
310 3.85469 2
310 1.45743 3
310 0.996958 4
316 0.355164 1
316 0.30974 2
316 0.299214 3
316 0.296295 4
345 0.513507 1
345 0.476638 2
345 0.466103 3
345 0.370209 4
348 5.2973 1
348 2.6781 2
348 1.15404 3
348 0.813006 4
354 5.4678 1
354 7.19136 2
354 3.67147 3
354 3.69477 4
361 1.64479 1
361 10.154 2
361 3.66753 3
361 3.36228 4
363 1.6286 1
363 0.271558 2
363 0.271236 3
363 0.267115 4
374 2.73627 1
374 2.62943 2
374 1.68739 3
374 0.689343 4
391 9.92964 1
391 4.03112 2
391 3.64656 3
391 3.32962 4
404 6.10258 1
404 5.22407 2
404 2.06088 3
404 1.10389 4
424 1.13978 1
424 3.18824 2
424 1.96116 3
424 0.449423 4
427 2.36484 1
427 5.25045 2
427 2.27007 3
427 1.49896 4
434 1.33735 1
434 5.98128 2
434 6.06487 3
434 5.05272 4
435 2.87182 1
435 26.7035 2
435 5.24195 3
435 5.46395 4
440 3.70276 1
440 0.874631 2
440 0.736471 3
440 0.665761 4
445 4.59497 1
445 2.55415 2
445 0.819741 3
445 0.75072 4
455 6.23257 1
455 3.21204 2
455 1.23279 3
455 0.791642 4
460 3.27898 1
460 10.5733 2
460 4.02813 3
460 4.24939 4
466 12.1035 1
466 1.84628 2
466 1.21252 3
466 1.08137 4
467 5.51303 1
467 3.24039 2
467 1.04433 3
467 0.763003 4
468 2.4378 1
468 1.42812 2
468 1.40749 3
468 1.06897 4
470 3.40938 1
470 0.638878 2
470 0.410242 3
470 0.432212 4
483 0.943922 1
483 14.0262 2
483 5.63065 3
483 5.49955 4
507 7.33468 1
538 0.522521 1
538 0.383187 2
538 0.388695 3
538 0.349537 4
555 0.810035 1
555 9.11026 2
555 14.1242 3
555 10.4143 4
580 1.1286 1
580 2.50578 2
580 1.29956 3
580 1.50704 4
623 4.19166 1
623 1.44473 2
623 0.823137 3
623 0.705151 4
631 12.7513 1
631 1.93285 2
631 1.38981 3
631 1.14091 4
651 1.11228 1
651 29.9021 2
651 14.3675 3
651 6.51677 4
654 6.7804 1
654 1.56371 2
654 1.91034 3
679 28.7032 1
679 4.54281 2
679 3.92253 3
679 3.67426 4
697 4.51032 1
697 2.13618 2
697 1.19687 3
697 0.527006 4
701 5.81418 1
701 1.53393 2
701 1.18398 3
701 1.24974 4
714 2.7456 1
714 0.605096 2
714 0.944981 3
714 1.83213 4
717 0.604442 1
717 0.729342 2
717 0.788771 3
717 0.827373 4
724 1.3445 1
724 0.0132615 2
724 0.334283 3
724 0.00481868 4
725 0.492305 1
725 0.47249 2
725 0.473925 3
725 0.419332 4
726 1.60343 1
726 0.0436599 2
726 0.164935 3
726 0.0605024 4
727 5.84099 1
727 2.6352 2
727 2.33984 3
727 2.2391 4
728 0.438628 1
728 0.0677443 2
728 0.0592919 3
728 0.0376735 4
730 0.578893 1
730 0.590115 2
730 0.534392 3
730 0.397024 4
731 0.522569 1
731 0.473048 2
731 0.448919 3
731 0.390094 4
733 5.10096 1
733 0.923851 2
733 0.900131 3
733 0.818376 4
736 0.483611 1
736 0.340802 2
736 0.317351 3
736 0.284424 4
737 0.56905 1
737 47.0513 2
737 86.4293 3
737 23.981 4
740 10.2897 1
740 3.19101 2
740 3.13934 3
740 3.14048 4
742 1.6144 1
742 2.31722 2
742 2.09177 3
742 1.75712 4
745 0.554437 1
745 0.460996 2
745 0.443344 3
745 0.349845 4
746 0.472893 1
746 0.106418 2
746 0.141669 3
746 0.0651265 4
748 2.23752 1
748 1.57749 2
748 1.23392 3
748 1.00768 4
749 0.541359 1
749 0.360222 2
749 0.338939 3
749 0.27601 4
751 0.556016 1
751 0.460272 2
751 0.445518 3
751 0.375716 4
752 6.36527 1
753 1.75446 1
753 0.799689 2
753 0.75944 3
753 0.5943 4
754 2.78343 1
754 0.590653 2
754 0.361289 3
754 0.304696 4
759 0.519943 1
759 0.392594 2
759 0.370396 3
759 0.338768 4
771 1.4777 1
771 0.995 2
771 0.606365 3
771 0.427876 4
780 3.75964 1
780 0.821482 2
780 0.643275 3
780 0.487803 4
783 3.29249 1
783 1.06105 2
783 1.04293 3
783 1.0917 4
804 1.63968 1
804 1.1938 2
804 1.12266 3
804 0.968018 4
808 0.955842 1
808 0.817696 2
808 0.631287 3
808 0.623231 4
810 1.45447 1
810 0.969256 2
810 0.888611 3
810 0.839152 4
