783 6699812 288073.042553 33680
404 2719356 102681.525000 105255
209 24526100 21218460.666667 24090955
363 24531686 23723891.000000 23234959
124 21351072 425057.510000 386915
219 4141176 64068.489796 63008
631 40990641 228450.144766 223567
269 4514307 105191.397590 61949
100 16865145 1019582.233333 816987
726 24512428 23441563.000000 24062937
126 6256577 107134.817333 131900
205 3041973 85558.133136 88725
310 3515349 120952.482759 129664
354 6734593 113142.811688 92720
740 14335436 231157.096991 131354
138 13937206 434116.290076 425352
206 9378886 112429.208556 91950
808 9202983 2135325.500000 2476966
32 89554551 7819275.292308 28431041
68 3172324 59896.185520 60562
728 73426147 59275274.250000 59795320
483 3685229 90648.247934 91688
262 2720798 51317.231270 50954
733 8852306 187702.702703 215850
445 5395603 112749.972414 94173
361 3084287 93107.678899 90734
264 2655841 91463.844262 90012
99 33163485 22512820.333333 23366139
212 29887012 18856971.500000 19572111
175 14460444 1225052.466667 2086129
737 10879756 180230.342466 189583
348 8449406 290591.858333 131962
714 10514157 3473583.933333 3398363
227 7114162 1231162.567568 1012693
242 3508941 91581.731092 89663
276 6865150 167578.474227 241728
177 25260682 100509.990483 105028
466 8532702 71865.126697 58850
316 23199897 21798448.642857 19059644
12 30351265 422596.542373 96346
93 11943961 866994.666667 956929
197 4379561 75759.587571 75372
717 8774797 943752.578947 896362
256 22543099 318335.013536 536730
293 24085440 148488.520505 105510
753 11273731 1921303.500000 2322705
207 201714896 17594459.000000 14494721
220 27606634 9791150.285714 5020825
623 21029512 4353535.125000 4778125
752 26138740 685646.186047 627456
228 9166300 68356.016209 149634
374 2907703 260186.130435 75268
754 24350846 14525676.000000 12732905
150 19084643 13080915.000000 12667899
260 5159291 578345.818182 581715
257 3991920 84015.302752 88849
96 2940142 83458.631579 82588
223 7243651 4579332.253521 5468719
23 3823585 67179.930108 76197
202 22352999 14577899.193548 17190509
14 7603669 353599.089820 234359
117 8291863 3374907.152174 2159729
194 3479866 127714.342105 49590
226 3604692 152783.338235 181699
424 4338484 192424.000000 309956
748 24642755 13328485.393443 15394199
7 6857745 167754.772636 94300
40 6942506 177786.776169 104096
244 4599932 236376.552632 229948
455 2655042 134331.612069 52314
467 3511023 405678.093750 100346
26 9114008 6132985.777778 7412505
727 37351582 1142731.495868 923261
0 117567957 114471489.000000 114471489
283 7980959 119941.923567 102149
391 28786270 641513.604811 290452
468 23441626 9261840.666667 8647141
724 48905487 48867067.666667 48860654
679 4179484 54973.964201 53561
133 13872129 412331.487455 409494
97 16539124 411016.764286 404879
232 14149369 410964.335714 409354
176 14344791 427389.146617 427277
34 16979670 440378.973485 445391
208 14838912 415730.039711 411922
198 14594185 402580.003546 394872
54 8397261 146792.865429 206432
29 122440523 107663560.833333 121393035
211 2969897 82601.597938 67109
580 2763469 95954.714286 68141
697 5480805 193386.610169 159161
4 90931411 329895.960076 313365
160 3627891 91887.869565 91826
440 7855739 2290791.166667 1651852
654 9933584 137472.283186 136183
122 8517084 2494989.603175 2428891
178 106660840 12356990.279635 12403518
144 106714231 18237406.584559 19472863
52 106501151 26913415.765432 27736022
107 103488111 13427454.952941 13625700
141 107590209 11522301.304038 9519964
58 108554571 23828973.750000 21796799
225 108005710 14391340.043280 12201835
780 5815084 742832.454545 219630
37 33082699 398893.378109 303460
701 9487810 248237.859155 279588
41 7313631 271555.591837 49522
272 4300941 112882.425000 111155
651 4091443 91464.000000 94892
435 3780578 75168.094017 79614
771 66288609 11656116.454545 6598278
460 3800982 94323.728682 90509
261 24547753 24130769.444444 24160063
427 2741395 98474.281250 41802
38 3436505 72795.138936 75170
280 3296425 236120.378788 51917
470 53877309 4376271.521739 5034636
804 257946316 244201297.833333 247298550
123 3422702 99932.617021 97134
195 5054446 73291.017857 66994
263 5732759 71417.707581 66973
555 3440430 137227.030303 142022
132 11728227 4324227.650000 2427937
730 51171711 21113693.281250 17718697
751 33038597 17502314.707317 15919773
745 36694922 11520958.428571 10372804
749 35798291 24414763.120000 20589169
221 48482830 20449786.735294 15637924
759 36539116 18205208.894737 15156250
345 45540484 19890073.382353 15166283
731 50432989 24255530.500000 24628697
275 50980153 19738591.424242 18437284
538 32995896 16075225.760870 14943409
725 49955237 17198318.350000 15924704
736 45289612 23599221.733333 22797714
231 29784516 16981769.833333 16890320
145 29201141 18536292.833333 16959109
59 27443685 18058147.833333 17664422
248 28336917 16044735.142857 15732373
18 30204913 19484163.000000 19313047
28 30911397 20916793.000000 18736084
103 26884858 17007193.833333 16895334
16 27458721 17039354.285714 16376880
27 33538182 24760291.333333 23043641
201 29549616 17443570.166667 17289073
111 28617178 15866169.285714 15451698
61 31105094 23727102.666667 26691227
13 27319426 15930976.714286 15629480
43 35760016 17785355.333333 17626335
213 32807461 18486804.500000 18133383
116 30166683 17976377.333333 17265271
130 30942199 16455626.833333 16121131
94 30077205 16384667.000000 16013303
36 28913167 16276771.571429 15753324
67 27048604 17668442.666667 16873807
200 28976150 20659272.600000 20023477
47 33746459 20717300.800000 19492411
39 31375943 18694596.000000 17145090
35 27198195 14424493.250000 14033999
22 29243777 18348777.666667 17439656
254 29386300 17891709.000000 17646156
166 26467914 19681358.500000 18084388
